Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
Q03798	YMR157C	2.36E-07	2.23E-07	1.30E-07	8.95E-08	5.09E-07	2.90E-08	NA	NA	1.78E-08	6.47E-08
Q03799	YMR158W	8.03E-07	6.01E-07	3.68E-07	2.72E-07	1.06E-06	8.53E-08	2.06E-08	1.25E-08	4.99E-08	8.58E-08
Q03833	YDR096W	2.63E-08	3.29E-08	2.27E-08	1.81E-08	1.90E-08	NA	1.90E-09	1.60E-10	1.14E-09	1.33E-09
Q03834	YDR097C	7.39E-08	7.13E-08	5.43E-08	4.32E-08	6.71E-08	2.87E-08	2.19E-09	5.86E-09	8.97E-09	6.59E-09
Q03835	YDR098C	4.30E-07	2.43E-07	1.28E-07	1.19E-07	2.19E-07	6.19E-08	1.68E-08	2.31E-10	1.18E-08	1.97E-08
Q03862	YDR101C	1.16E-06	6.79E-07	3.75E-07	3.32E-07	1.09E-06	7.24E-08	1.57E-08	1.84E-08	1.53E-08	4.11E-08
Q03880	YMR123W	1.91E-07	2.70E-07	1.66E-07	9.23E-08	1.12E-07	1.62E-08	1.06E-08	1.15E-08	2.86E-08	1.60E-08
Q03921	YDR141C	6.56E-08	8.77E-08	5.13E-08	4.65E-08	3.06E-08	1.49E-08	1.70E-08	4.54E-09	1.26E-08	1.74E-09
Q03940	YDR190C	3.43E-06	2.91E-06	1.81E-06	1.60E-06	1.86E-06	1.15E-07	7.39E-08	9.47E-08	4.97E-08	9.49E-08
Q03941	YDR196C	8.13E-07	9.21E-07	5.77E-07	5.11E-07	3.34E-07	8.02E-08	5.27E-08	1.92E-08	6.30E-08	4.19E-09
Q03944	YDR200C	5.69E-08	5.28E-08	3.68E-08	3.45E-08	3.13E-08	NA	NA	NA	4.46E-09	1.33E-09
Q03973	YDR174W	1.58E-06	1.57E-06	1.19E-06	1.12E-06	1.49E-06	5.44E-08	1.08E-07	4.76E-08	1.07E-07	1.41E-08
Q03976	YDR175C	1.07E-07	8.69E-08	5.70E-08	4.29E-08	1.56E-07	1.57E-08	3.16E-09	7.26E-09	3.86E-09	4.41E-09
Q04002	YDR180W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04007	YDR186C	3.80E-08	2.29E-08	1.83E-08	1.44E-08	2.80E-08	1.30E-08	NA	7.68E-10	3.41E-09	NA
Q04013	YMR241W	3.85E-06	7.35E-06	4.65E-06	3.46E-06	3.34E-06	2.19E-07	1.93E-07	7.49E-08	4.35E-07	8.04E-08
Q04031	YDR412W	1.38E-06	1.27E-06	7.36E-07	6.51E-07	9.98E-07	1.90E-08	1.17E-07	4.71E-08	2.40E-08	3.43E-08
Q04053	YDR425W	3.92E-08	NA	NA	NA	2.01E-07	NA	NA	NA	NA	NA
Q04062	YDR427W	3.64E-06	4.21E-06	2.80E-06	2.32E-06	2.08E-06	4.98E-07	6.38E-08	8.53E-08	1.45E-07	9.81E-08
Q04067	YDR429C	4.75E-06	4.08E-06	2.25E-06	1.99E-06	3.60E-06	3.56E-07	2.34E-07	5.44E-08	2.17E-07	1.79E-07
Q04080	YDR434W	2.00E-06	1.70E-07	1.16E-07	7.70E-08	4.43E-08	2.66E-06	NA	NA	1.13E-08	1.69E-08
Q04081	YDR435C	1.83E-07	1.76E-07	1.46E-07	1.09E-07	1.62E-07	3.58E-08	3.44E-08	1.55E-08	5.34E-09	1.40E-08
Q04119	YDR452W	2.95E-07	3.32E-07	2.16E-07	1.83E-07	1.28E-07	2.61E-08	1.38E-08	3.02E-08	1.81E-08	3.23E-08
Q04120	YDR453C	2.62E-07	1.19E-07	4.83E-08	NA	8.79E-08	1.68E-07	3.03E-08	NA	NA	NA
Q04170	YDR391C	1.88E-08	1.91E-08	1.94E-08	1.76E-08	NA	2.68E-09	NA	6.65E-12	1.36E-09	NA
Q04175	YDR395W	2.04E-07	1.69E-07	1.16E-07	9.46E-08	1.40E-07	4.95E-08	1.68E-08	8.37E-09	9.43E-09	2.98E-08
Q04177	YDR398W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04178	YDR399W	7.47E-06	1.14E-05	7.77E-06	6.88E-06	5.04E-06	4.01E-07	5.13E-07	4.03E-07	3.90E-07	9.83E-08
Q04179	YDR400W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04182	YDR406W	8.49E-08	2.10E-07	1.34E-07	9.98E-08	8.08E-08	3.92E-08	8.40E-09	7.11E-09	1.30E-08	2.52E-08
Q04199	YML102W	4.45E-08	NA	2.58E-08	2.77E-08	NA	NA	NA	NA	NA	NA
Q04201	YML101C	5.67E-07	7.20E-07	NA	4.31E-07	5.78E-07	2.77E-08	NA	NA	NA	NA
Q04212	YMR041C	3.49E-07	4.25E-07	1.28E-07	NA	NA	NA	NA	NA	NA	NA
Q04213	YMR044W	2.60E-08	5.64E-08	2.43E-08	2.49E-08	1.58E-08	2.12E-09	1.64E-08	3.02E-09	NA	NA
Q04217	YMR128W	2.74E-08	2.69E-08	1.34E-08	1.23E-08	2.76E-08	NA	NA	2.12E-09	3.18E-09	9.49E-09
Q04223	YMR130W	1.79E-07	1.76E-07	1.09E-07	8.61E-08	1.15E-07	3.02E-08	1.96E-08	9.97E-09	1.18E-08	7.78E-09
Q04225	YMR131C	4.89E-07	3.75E-07	2.03E-07	1.89E-07	3.56E-07	5.27E-08	3.79E-08	2.65E-08	1.43E-08	2.34E-08
Q04228	YML013W	3.84E-07	5.19E-07	2.72E-07	2.61E-07	1.43E-07	1.29E-07	7.35E-08	1.89E-07	4.27E-08	NA
Q04264	YMR076C	2.89E-07	3.99E-07	2.97E-07	2.49E-07	2.28E-07	6.15E-08	2.05E-08	5.44E-08	5.39E-08	7.77E-08
Q04279	YMR086W	1.76E-07	2.26E-07	2.47E-07	2.24E-07	1.21E-07	1.11E-08	1.10E-08	1.80E-08	4.06E-08	5.87E-09
Q04304	YMR090W	9.55E-07	1.42E-06	1.90E-06	1.79E-06	1.39E-07	2.03E-07	1.04E-07	2.34E-08	1.18E-07	1.44E-08
Q04305	YMR093W	2.76E-07	2.08E-07	1.10E-07	1.10E-07	2.72E-07	5.22E-09	2.22E-08	2.17E-08	7.72E-09	1.34E-08
Q04311	YDR049W	1.01E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04322	YMR192W	NA	2.15E-08	NA	1.26E-08	1.27E-08	NA	4.95E-09	NA	NA	NA
Q04336	YMR196W	4.25E-07	7.43E-07	5.24E-07	3.82E-07	1.07E-07	7.20E-08	1.97E-08	5.56E-09	2.19E-08	2.12E-08
Q04338	YMR197C	4.36E-08	7.94E-08	NA	2.97E-08	2.77E-08	2.42E-08	1.83E-09	NA	1.43E-08	NA
Q04341	YDR031W	3.36E-07	2.58E-07	2.06E-07	1.54E-07	1.87E-07	3.43E-08	8.28E-09	1.09E-08	3.95E-09	1.89E-08
Q04344	YDL125C	2.12E-05	1.72E-05	8.18E-06	7.00E-06	8.21E-06	1.25E-06	5.57E-07	3.75E-07	2.12E-07	9.75E-08
Q04347	YMR014W	6.41E-08	4.37E-08	3.13E-08	1.82E-08	4.21E-08	1.35E-08	NA	8.97E-09	NA	NA
Q04371	YMR027W	1.44E-06	1.71E-06	1.08E-06	8.83E-07	1.03E-06	5.65E-08	3.75E-08	5.96E-08	1.15E-08	8.51E-08
Q04372	YMR028W	4.48E-08	4.52E-08	3.97E-08	2.59E-08	2.24E-08	5.83E-09	6.12E-09	3.73E-09	2.66E-09	4.50E-10
Q04373	YDR496C	8.96E-07	5.61E-07	3.40E-07	2.77E-07	7.51E-07	3.43E-08	2.81E-09	2.24E-09	1.82E-08	3.18E-08
Q04401	YDR511W	1.09E-06	6.11E-07	3.28E-07	2.27E-07	8.89E-07	1.05E-07	3.77E-08	8.85E-09	6.74E-09	5.03E-08
Q04406	YDR512C	1.69E-07	2.46E-07	9.77E-08	8.59E-08	2.00E-07	3.52E-08	4.27E-09	1.92E-08	NA	1.35E-08
Q04409	YDR516C	3.24E-06	1.87E-06	7.86E-07	6.28E-07	1.53E-06	4.93E-07	6.36E-08	2.14E-08	3.96E-08	9.16E-08
Q04410	YDR517W	1.06E-06	7.90E-07	4.47E-07	3.67E-07	5.72E-07	2.72E-07	1.76E-07	4.69E-08	6.64E-08	5.65E-08
Q04418	YDR527W	8.29E-09	5.63E-09	4.80E-09	5.42E-09	4.96E-09	1.57E-09	5.60E-10	1.41E-09	1.62E-09	1.79E-09
Q04430	YDR531W	8.23E-07	1.06E-06	5.42E-07	4.73E-07	3.09E-07	9.41E-08	5.62E-08	9.35E-08	6.01E-08	2.61E-08
Q04431	YDR532C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04432	YDR533C	9.10E-07	1.05E-06	2.23E-06	2.47E-06	3.96E-07	2.91E-07	3.95E-08	8.76E-08	1.25E-07	7.20E-08
Q04438	YMR107W	1.23E-06	5.74E-07	6.77E-08	1.79E-08	4.24E-08	3.63E-07	6.25E-08	NA	NA	NA
Q04439	YMR109W	3.72E-07	5.18E-07	3.63E-07	2.99E-07	2.62E-07	6.70E-08	2.19E-08	1.26E-08	2.23E-08	1.02E-08
Q04458	YMR110C	1.15E-06	1.18E-06	6.81E-07	5.24E-07	2.84E-07	7.53E-08	4.34E-08	6.07E-09	2.66E-08	3.41E-08
Q04472	YMR115W	6.63E-08	6.42E-08	3.66E-08	3.28E-08	5.14E-08	8.37E-09	1.11E-08	7.94E-09	1.04E-08	7.42E-09
Q04491	YLR208W	7.70E-06	8.68E-06	5.23E-06	4.58E-06	5.01E-06	2.42E-07	2.01E-07	1.74E-07	2.31E-07	1.20E-07
Q04493	YML094W	7.64E-07	8.62E-07	5.21E-07	4.84E-07	5.16E-07	6.77E-08	5.81E-08	1.34E-08	5.98E-08	1.72E-08
Q04500	YML093W	1.13E-08	NA	NA	NA	1.30E-08	NA	NA	NA	NA	4.87E-09
Q04533	YML082W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04599	YDR116C	5.40E-07	3.39E-07	2.39E-07	1.82E-07	7.75E-07	6.62E-08	3.84E-09	1.07E-08	1.12E-08	3.29E-08
Q04600	YDR117C	3.25E-07	3.00E-07	1.94E-07	1.55E-07	1.82E-07	8.99E-10	2.31E-08	1.91E-08	2.10E-08	5.04E-08
Q04602	YDR119W	NA	NA	8.97E-08	8.50E-08	NA	NA	NA	NA	NA	NA
Q04603	YDR121W	2.35E-07	2.25E-07	1.26E-07	1.22E-07	9.84E-08	2.45E-08	2.09E-08	5.46E-09	1.04E-08	6.44E-09
Q04632	YML071C	1.03E-08	2.60E-08	9.93E-09	7.77E-09	1.13E-08	NA	NA	NA	3.93E-10	NA
Q04636	YML069W	1.16E-06	1.42E-06	9.45E-07	8.28E-07	7.11E-07	6.54E-08	7.81E-08	1.64E-08	1.88E-08	3.76E-08
Q04660	YMR049C	5.07E-07	3.75E-07	2.11E-07	1.74E-07	4.36E-07	6.41E-08	1.69E-08	5.38E-09	1.10E-08	3.32E-08
Q04673	YLR005W	NA	NA	2.17E-08	NA	NA	NA	NA	NA	NA	NA
Q04689	YML050W	5.23E-08	3.44E-08	1.95E-08	1.50E-08	4.38E-08	5.82E-09	2.46E-09	4.10E-09	6.65E-10	5.98E-09
Q04693	YML049C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04697	YML048W	4.73E-06	6.50E-06	3.55E-06	2.68E-06	2.18E-06	1.82E-07	2.85E-07	8.95E-08	1.36E-07	2.86E-07
Q04728	YMR062C	2.64E-06	2.68E-06	1.37E-06	1.26E-06	1.43E-06	1.77E-07	1.61E-07	8.45E-08	6.87E-08	5.61E-08
Q04739	YER027C	3.49E-07	3.28E-07	2.60E-07	2.86E-07	3.68E-07	4.50E-08	9.37E-09	3.09E-08	8.17E-08	1.19E-08
Q04767	YMR071C	3.70E-07	7.33E-07	4.58E-07	3.59E-07	NA	NA	NA	1.68E-08	2.04E-08	NA
Q04772	YMR073C	3.10E-07	2.70E-07	1.67E-07	1.38E-07	2.02E-07	8.52E-08	3.03E-08	1.56E-08	1.66E-08	9.95E-09
Q04773	YMR074C	1.64E-06	1.23E-06	7.56E-07	6.15E-07	1.30E-06	4.41E-08	2.88E-08	1.69E-08	2.86E-08	6.72E-08
Q04779	YMR075W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q04792	YMR250W	1.97E-07	1.52E-07	1.31E-07	1.13E-07	3.70E-08	1.09E-07	NA	7.15E-09	2.15E-09	NA
Q04847	YMR258C	4.80E-07	NA	2.16E-07	1.64E-07	NA	NA	NA	NA	NA	NA
Q04869	YMR315W	6.06E-06	5.37E-06	2.20E-06	1.78E-06	2.69E-06	4.12E-07	1.81E-07	2.13E-07	9.56E-08	2.98E-08
Q04894	YMR318C	7.79E-06	8.03E-06	2.53E-06	2.28E-06	5.67E-06	8.79E-07	2.02E-07	6.32E-08	2.16E-07	5.64E-09
Q04924	YDR221W	NA	3.59E-07	3.41E-07	2.08E-07	1.38E-07	NA	4.04E-08	9.07E-08	1.81E-08	1.32E-08
Q04934	YDR229W	1.38E-07	1.31E-07	9.52E-08	8.43E-08	3.95E-08	1.06E-08	6.67E-09	4.39E-09	6.10E-09	6.11E-09
Q04935	YDR231C	3.23E-07	2.11E-07	1.33E-07	9.15E-08	1.86E-07	6.20E-08	1.99E-08	1.20E-08	5.58E-09	3.43E-08
Q04947	YDR233C	8.49E-06	8.63E-06	6.32E-06	4.93E-06	2.78E-06	7.46E-07	4.42E-07	5.91E-08	3.25E-07	4.99E-07
Q04951	YMR305C	4.88E-08	4.15E-08	2.02E-08	1.64E-08	2.07E-08	8.34E-09	2.53E-09	4.97E-10	3.34E-10	7.85E-11
Q04964	YML058W	3.22E-07	4.77E-07	3.12E-07	2.27E-07	1.90E-07	3.82E-08	2.27E-08	2.96E-08	2.55E-08	1.67E-08
Q04969	YML055W	8.97E-07	1.46E-06	9.49E-07	7.32E-07	4.86E-07	4.72E-08	2.06E-08	7.28E-08	7.54E-08	8.16E-08
Q05016	YMR226C	5.33E-06	1.06E-05	9.38E-06	8.35E-06	3.78E-06	1.43E-07	4.81E-07	1.47E-07	4.37E-07	6.44E-08
Q05022	YMR229C	8.18E-07	8.06E-07	4.07E-07	3.26E-07	1.15E-06	3.99E-08	4.84E-08	2.23E-08	2.68E-09	6.78E-08
Q05029	YMR237W	2.68E-07	3.39E-07	2.39E-07	1.89E-07	1.84E-07	3.64E-08	2.37E-08	1.83E-08	1.44E-08	2.67E-08
Q05040	YMR029C	1.56E-07	1.90E-07	1.50E-07	1.16E-07	1.04E-07	1.37E-08	1.92E-08	8.09E-10	1.25E-08	2.10E-09
Q05050	YMR031C	2.29E-06	4.56E-06	3.07E-06	2.69E-06	9.07E-07	7.09E-08	3.31E-08	2.71E-08	1.55E-07	5.90E-08
Q05123	YMR033W	2.07E-07	2.61E-07	2.00E-07	1.59E-07	2.43E-07	3.79E-08	2.39E-08	1.08E-08	8.19E-09	2.48E-08
Q05166	YDL088C	6.94E-08	7.55E-08	4.84E-08	4.46E-08	5.14E-08	6.10E-09	1.38E-08	3.60E-09	3.01E-09	1.05E-09
Q05359	YAR002C-A	1.64E-06	2.04E-06	1.61E-06	1.18E-06	1.21E-06	2.79E-08	1.01E-07	1.90E-08	7.32E-08	2.08E-07
Q05471	YDR334W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q05498	YDR339C	1.80E-08	1.04E-08	NA	6.29E-09	1.40E-08	6.73E-09	NA	NA	9.02E-10	2.68E-09
Q05506	YDR341C	3.74E-06	2.80E-06	1.82E-06	1.54E-06	2.29E-06	4.41E-07	4.72E-08	4.23E-08	8.12E-08	4.27E-08
Q05515	YDR346C	1.55E-06	1.26E-06	7.56E-07	6.57E-07	7.22E-07	8.10E-08	5.70E-08	1.51E-08	4.96E-08	3.15E-08
Q05518	YDR348C	1.60E-07	1.37E-07	9.57E-08	8.99E-08	1.20E-07	1.36E-08	7.77E-09	1.57E-08	1.12E-08	1.71E-08
Q05543	YDR289C	4.34E-07	4.08E-07	2.12E-07	1.84E-07	1.57E-07	1.65E-08	2.46E-08	1.09E-09	8.85E-09	8.57E-09
Q05567	YDR294C	1.29E-06	1.42E-06	7.14E-07	5.03E-07	4.87E-07	2.74E-07	5.74E-08	5.22E-08	3.71E-08	9.11E-08
Q05580	YDR266C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q05583	YDR267C	3.15E-07	1.71E-07	1.42E-07	1.16E-07	8.50E-08	3.49E-08	9.36E-08	2.39E-08	2.36E-08	3.64E-09
Q05584	YDR272W	1.03E-06	1.27E-06	9.43E-07	7.60E-07	6.13E-07	6.37E-08	1.32E-07	3.17E-08	6.48E-08	3.55E-08
Q05636	YDR280W	1.60E-07	1.23E-07	9.20E-08	9.46E-08	1.03E-07	1.82E-08	8.50E-09	1.34E-08	2.11E-09	3.84E-08
Q05775	YLR192C	5.41E-06	5.65E-06	3.52E-06	2.98E-06	3.60E-06	3.15E-07	3.83E-07	1.67E-07	2.61E-07	1.26E-07
Q05778	YLR199C	8.72E-08	8.93E-08	5.63E-08	4.45E-08	3.21E-08	1.05E-08	1.33E-08	2.12E-09	5.91E-09	1.30E-09
Q05779	YLR201C	7.46E-08	2.99E-08	4.15E-08	5.65E-08	NA	5.06E-08	NA	2.47E-09	1.34E-08	NA
Q05785	YLR206W	2.46E-07	3.17E-07	2.79E-07	2.02E-07	1.09E-07	3.66E-08	9.42E-09	6.85E-09	2.08E-08	1.62E-08
Q05787	YLR207W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q05788	YLR209C	1.38E-06	1.39E-06	1.00E-06	8.96E-07	7.66E-07	1.08E-07	1.54E-07	8.11E-08	8.64E-08	5.50E-08
Q05791	YLR215C	6.38E-08	6.28E-08	3.45E-08	2.04E-08	4.46E-08	2.23E-08	1.41E-08	NA	3.51E-09	1.21E-08
Q05812	YLR219W	1.79E-07	1.80E-07	1.18E-07	1.12E-07	6.07E-08	2.05E-08	3.29E-08	1.82E-08	1.98E-08	4.71E-09
Q05867	YLR283W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q05871	YLR284C	4.13E-07	5.63E-07	1.17E-07	9.50E-08	4.41E-08	5.44E-08	4.81E-08	1.38E-08	NA	1.80E-09
Q05874	YLR285W	2.63E-07	3.02E-07	1.83E-07	1.73E-07	2.10E-07	3.85E-08	2.45E-08	7.86E-09	3.45E-08	1.62E-08
Q05881	YLR287C	1.98E-07	2.50E-07	1.44E-07	1.21E-07	1.16E-07	2.19E-08	2.71E-08	1.33E-08	5.35E-09	5.69E-09
Q05892	YLR290C	1.80E-07	1.84E-07	1.36E-07	1.01E-07	6.38E-08	4.08E-08	1.14E-08	1.52E-08	2.89E-09	1.17E-08
Q05900	YLR298C	NA	1.24E-08	8.75E-09	9.31E-09	NA	NA	1.24E-09	1.58E-09	1.91E-09	NA
Q05902	YLR299W	7.15E-08	1.47E-07	1.22E-07	1.06E-07	1.23E-08	6.26E-09	3.52E-08	9.61E-09	9.82E-09	NA
Q05905	YLR301W	4.61E-06	6.91E-06	4.34E-06	4.21E-06	3.16E-06	4.34E-07	3.66E-07	1.13E-07	1.41E-07	6.72E-08
Q05911	YLR359W	1.28E-05	1.03E-05	6.93E-06	5.74E-06	1.09E-05	6.98E-07	3.16E-07	1.45E-07	3.03E-07	2.81E-07
Q05926	YLR364W	4.15E-06	2.16E-06	1.75E-06	1.64E-06	3.99E-06	5.97E-07	1.44E-07	3.14E-08	1.93E-07	1.44E-07
Q05931	YLR369W	6.36E-07	6.32E-07	4.34E-07	3.42E-07	3.61E-07	1.23E-08	1.79E-08	1.24E-08	2.85E-08	1.85E-08
Q05933	YLR370C	1.01E-06	1.24E-06	8.26E-07	6.77E-07	5.47E-07	4.71E-08	8.46E-08	1.56E-08	1.59E-08	2.11E-08
Q05934	YLR373C	1.82E-08	4.07E-08	NA	NA	NA	NA	1.04E-08	NA	NA	NA
Q05942	YLR221C	4.03E-08	3.27E-08	1.93E-08	1.44E-08	3.51E-08	3.19E-09	2.88E-09	7.00E-10	7.69E-10	7.88E-10
Q05946	YLR222C	1.93E-07	1.53E-07	8.58E-08	6.76E-08	2.65E-07	1.92E-08	1.50E-08	2.55E-09	6.18E-09	1.70E-08
Q05949	YLR226W	8.08E-08	6.59E-08	5.70E-08	3.19E-08	NA	NA	NA	NA	NA	NA
Q05979	YLR231C	9.53E-07	1.32E-06	9.66E-07	7.95E-07	4.42E-07	1.47E-07	3.72E-08	2.45E-08	4.16E-08	4.28E-08
Q05998	YLR237W	8.08E-09	9.48E-09	4.62E-09	2.55E-09	4.99E-09	NA	1.10E-10	1.50E-10	3.34E-10	1.01E-09
Q06005	YLR239C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q06010	YLR389C	1.62E-07	2.06E-07	1.35E-07	1.07E-07	1.83E-07	1.85E-08	3.34E-09	2.39E-09	5.47E-09	7.70E-09
Q06011	YLR390W	4.50E-08	3.37E-08	NA	1.49E-08	7.89E-08	8.88E-09	NA	NA	3.05E-09	NA
Q06053	YLR401C	9.56E-08	6.37E-08	2.97E-08	2.79E-08	1.02E-07	4.25E-09	1.87E-08	NA	4.03E-09	2.93E-09
Q06078	YLR409C	2.95E-07	2.61E-07	1.29E-07	1.04E-07	3.53E-07	1.87E-08	6.09E-08	3.69E-09	1.39E-08	4.22E-08
Q06089	YPR098C	1.44E-06	6.54E-07	NA	2.69E-07	2.14E-07	1.39E-06	2.41E-08	NA	1.97E-08	NA
Q06090	YPR100W	5.38E-07	3.90E-07	2.72E-07	1.88E-07	8.33E-07	3.50E-08	3.94E-08	2.35E-08	2.36E-08	2.44E-08
Q06096	YPR105C	NA	2.77E-07	NA	NA	1.07E-07	NA	NA	NA	NA	NA
Q06103	YPR108W	1.90E-06	2.17E-06	1.48E-06	1.17E-06	1.20E-06	2.44E-08	9.13E-08	5.64E-08	7.05E-08	7.09E-08
Q06106	YPR112C	7.85E-08	8.02E-08	3.95E-08	3.94E-08	7.38E-08	4.76E-09	2.33E-08	2.29E-09	6.10E-09	7.10E-10
Q06108	YPR115W	NA	1.00E-08	7.40E-09	6.82E-09	1.06E-08	NA	NA	NA	2.21E-09	5.69E-10
Q06132	YLR336C	4.89E-08	7.68E-08	5.53E-08	4.86E-08	3.02E-08	NA	NA	4.36E-09	NA	4.09E-09
Q06137	YLR345W	3.77E-07	4.45E-07	2.74E-07	1.87E-07	1.40E-07	3.83E-08	1.89E-08	4.22E-08	1.64E-08	1.52E-08
Q06142	YLR347C	6.04E-07	7.14E-07	5.47E-07	4.21E-07	4.33E-07	4.56E-08	2.96E-08	3.06E-08	1.29E-08	2.26E-08
Q06146	YLR257W	3.04E-07	1.43E-06	1.02E-06	8.03E-07	2.01E-07	2.36E-08	6.99E-08	6.25E-08	7.91E-08	9.14E-09
Q06147	YLR260W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q06151	YLR270W	2.66E-06	3.09E-06	2.37E-06	2.02E-06	9.60E-07	1.79E-07	1.69E-07	1.84E-08	8.96E-08	3.12E-08
Q06159	YLR312C	9.63E-08	1.17E-07	9.00E-08	6.92E-08	NA	NA	9.47E-09	8.58E-09	9.86E-09	NA
Q06168	YLR321C	9.02E-08	1.15E-07	1.07E-07	6.03E-08	5.22E-08	3.09E-08	2.15E-08	NA	2.52E-08	2.38E-09
Q06169	YLR324W	1.16E-07	1.51E-07	9.52E-08	6.99E-08	4.85E-08	1.30E-08	1.90E-08	7.50E-09	4.43E-09	1.29E-08
Q06177	YLR327C	6.30E-06	NA	NA	NA	NA	5.36E-07	NA	NA	NA	NA
Q06188	YLR455W	2.31E-08	2.32E-08	2.40E-08	2.03E-08	2.13E-08	NA	NA	1.00E-08	4.70E-09	1.14E-08
Q06205	YLR449W	4.57E-07	3.93E-07	2.75E-07	2.45E-07	2.76E-07	6.86E-09	1.95E-08	1.72E-08	2.13E-08	6.52E-09
Q06214	YPR169W	4.20E-08	2.51E-08	2.51E-08	2.42E-08	3.62E-08	7.52E-09	1.16E-09	NA	6.54E-09	9.63E-09
Q06217	YLR275W	9.47E-07	1.16E-06	7.01E-07	5.68E-07	5.19E-07	4.83E-08	2.26E-07	9.94E-08	6.23E-08	6.81E-08
Q06218	YLR276C	2.41E-07	2.37E-07	1.33E-07	1.07E-07	2.73E-07	1.15E-08	1.25E-08	7.22E-09	4.38E-09	2.25E-08
Q06224	YLR277C	NA	NA	9.32E-09	NA	5.37E-09	NA	NA	NA	NA	NA
Q06245	YLR166C	NA	NA	NA	2.90E-08	NA	NA	NA	NA	NA	NA
Q06252	YLR179C	5.31E-06	4.63E-06	1.95E-06	1.90E-06	3.90E-06	1.16E-06	3.00E-07	1.18E-07	2.05E-07	1.38E-07
Q06263	YLR181C	1.82E-07	1.98E-07	1.13E-07	9.21E-08	7.06E-08	9.12E-09	2.31E-09	9.19E-09	7.97E-09	4.81E-09
Q06287	YLR186W	7.34E-07	7.35E-07	3.42E-07	3.09E-07	5.39E-07	4.41E-08	2.89E-08	1.07E-08	3.49E-08	2.23E-08
Q06321	YLR189C	NA	NA	NA	1.33E-08	NA	NA	NA	NA	4.91E-09	NA
Q06336	YDR358W	2.27E-07	2.35E-07	1.53E-07	1.20E-07	6.32E-08	4.03E-08	6.96E-09	9.30E-09	1.91E-08	6.24E-09
Q06338	YDR361C	8.82E-07	7.34E-07	4.71E-07	3.96E-07	4.91E-07	9.89E-08	7.48E-08	9.54E-10	3.41E-08	1.56E-08
Q06344	YDR365C	1.55E-08	1.23E-08	1.20E-08	1.21E-08	2.39E-08	3.50E-09	3.24E-09	1.22E-09	1.39E-09	1.59E-09
Q06385	YDR372C	7.10E-07	8.17E-07	4.94E-07	4.20E-07	4.85E-07	7.91E-08	4.73E-08	1.37E-08	2.90E-08	3.45E-08
Q06405	YDR377W	2.64E-06	2.56E-06	2.04E-06	1.27E-06	2.11E-06	2.66E-07	7.28E-08	2.04E-07	5.63E-08	1.43E-07
Q06406	YDR378C	2.81E-07	3.32E-07	1.88E-07	2.00E-07	1.70E-07	4.48E-08	8.13E-09	1.45E-08	2.75E-08	2.77E-08
Q06407	YDR379W	5.52E-09	1.10E-08	9.89E-09	4.77E-09	NA	NA	4.06E-09	NA	NA	NA
Q06436	YLR427W	2.86E-08	4.13E-08	2.16E-08	1.74E-08	1.55E-08	NA	1.28E-08	5.25E-09	3.84E-09	NA
Q06440	YLR429W	1.33E-06	1.22E-06	8.30E-07	6.99E-07	1.04E-06	2.59E-08	3.72E-08	3.80E-08	3.45E-08	5.19E-08
Q06451	YPR156C	1.62E-07	1.31E-07	1.24E-07	1.08E-07	NA	4.82E-09	4.72E-08	3.66E-08	1.55E-08	NA
Q06488	YLR357W	2.55E-08	3.96E-08	2.32E-08	1.91E-08	2.56E-08	NA	NA	3.03E-09	3.20E-09	2.15E-09
Q06489	YPR118W	1.44E-06	1.60E-06	8.44E-07	7.47E-07	7.89E-07	8.64E-08	3.07E-08	1.29E-08	3.25E-08	2.23E-08
Q06493	YPR125W	1.41E-07	2.08E-07	1.29E-07	1.00E-07	1.05E-07	3.89E-09	1.45E-08	1.06E-08	3.51E-09	1.08E-08
Q06494	YPR127W	6.32E-07	1.09E-06	6.55E-07	4.73E-07	8.21E-08	2.81E-07	8.72E-08	1.24E-08	6.11E-08	7.04E-09
Q06497	YPR128C	2.46E-08	3.61E-08	2.84E-08	2.36E-08	1.49E-08	NA	9.90E-09	3.37E-09	5.44E-09	NA
Q06504	YPR131C	4.42E-08	5.45E-08	3.41E-08	2.98E-08	3.58E-08	2.20E-09	NA	4.66E-09	8.90E-09	NA
